scenario,character,condition,metric,value,validity
Interview,Alex,asignal,goal_directedness,5.0,1.0
Interview,Susan,asignal,goal_directedness,5.0,1.0
Interview,Interviewer,asignal,goal_directedness,5.0,1.0
Interview,Alex,asignal,social_awareness,5.0,1.0
Interview,Susan,asignal,social_awareness,4.5,1.0
Interview,Interviewer,asignal,social_awareness,4.5,1.0
Interview,Alex,asignal,cognitive_flexibility,5.0,1.0
Interview,Susan,asignal,cognitive_flexibility,4.5,1.0
Interview,Interviewer,asignal,cognitive_flexibility,4.5,1.0
Interview,Alex,asignal,coherence,5.0,1.0
Interview,Susan,asignal,coherence,4.7,1.0
Interview,Interviewer,asignal,coherence,4.5,1.0
Interview,Alex,asignal,engagement,5.0,1.0
Interview,Susan,asignal,engagement,5.0,1.0
Interview,Interviewer,asignal,engagement,4.0,0.9
Interview,Alex,asignal,complexity,4.0,1.0
Interview,Susan,asignal,complexity,4.0,1.0
Interview,Interviewer,asignal,complexity,2.0,0.7
Interview,Alex,asignal,character_development,4.0,1.0
Interview,Susan,asignal,character_development,4.0,1.0
Interview,Interviewer,asignal,character_development,4.0,1.0
Interview,Alex,asignal,action_effectiveness,4.5,1.0
Interview,Susan,asignal,action_effectiveness,4.2,0.7
Interview,Interviewer,asignal,action_effectiveness,3.5,0.7
Interview,Alex,baseline,goal_directedness,5.0,1.0
Interview,Susan,baseline,goal_directedness,5.0,1.0
Interview,Interviewer,baseline,goal_directedness,5.0,1.0
Interview,Alex,baseline,social_awareness,5.0,1.0
Interview,Susan,baseline,social_awareness,5.0,1.0
Interview,Interviewer,baseline,social_awareness,1.5,0.7
Interview,Alex,baseline,cognitive_flexibility,5.0,1.0
Interview,Susan,baseline,cognitive_flexibility,4.5,1.0
Interview,Interviewer,baseline,cognitive_flexibility,4.5,1.0
Interview,Alex,baseline,coherence,5.0,1.0
Interview,Susan,baseline,coherence,5.0,1.0
Interview,Interviewer,baseline,coherence,5.0,1.0
Interview,Alex,baseline,engagement,5.0,1.0
Interview,Susan,baseline,engagement,5.0,1.0
Interview,Interviewer,baseline,engagement,4.0,0.9
Interview,Alex,baseline,complexity,4.0,1.0
Interview,Susan,baseline,complexity,4.0,1.0
Interview,Interviewer,baseline,complexity,4.0,0.7
Interview,Alex,baseline,character_development,4.2,1.0
Interview,Susan,baseline,character_development,4.0,1.0
Interview,Interviewer,baseline,character_development,2.5,0.7
